ORDER_ID,CUSTOMER_CODE,COUNTRY_CODE,ORDER_STATUS,ORDER_TS,AMOUNT_USD,EXPORTED_AT
5001,C001,US,completed,2026-03-01 09:12:00,120.00,2026-03-02 02:00:00
5002,C002,US,Completed,2026-03-01 15:40:00,80.50,2026-03-02 02:00:00
5003,C003,CA,pending,2026-03-02 11:05:00,45.00,2026-03-03 02:00:00
5003,C003,CA,COMPLETED,2026-03-02 11:05:00,49.00,2026-03-04 02:00:00
5004,C004,GB,completed ,2026-03-02 18:22:00,,2026-03-03 02:00:00
5005,C005,DE,cancelled,2026-03-03 08:00:00,200.00,2026-03-04 02:00:00
5006,C006,JP,Completed,2026-03-03 20:15:00,310.25,2026-03-04 02:00:00
5007,C001,US, pending,2026-03-04 07:45:00,60.00,2026-03-05 02:00:00
5008,C007,GB,completed,2026-03-04 12:30:00,75.25,2026-03-05 02:00:00
5009,C008,CA,CANCELLED,2026-03-05 09:00:00,15.00,2026-03-06 02:00:00
5010,C002,US,completed,2026-03-05 16:10:00,99.99,2026-03-06 02:00:00
5011,C009,AU,Cancelled,2026-03-05 19:40:00,42.00,2026-03-06 02:00:00
