LINE_ID,PAYOUT_ID,ORDER_REF,CURRENCY,LINE_AMOUNT,PAYMENT_METHOD
L001,P1001,ORD-8801,USD,500.00,bank_transfer
L002,P1001,ORD-8815,USD,450.00,paypal
L003,P1001,ORD-8822,USD,400.00,
L004,P1002,ORD-8904,USD,600.50,bank_transfer
L005,P1002,ORD-8917,USD,290.00,wise
L006,P1003,ORD-9002,EUR,1200.00,bank_transfer
L007,P1003,ORD-9014,EUR,750.00,
L008,P1005,ORD-9101,GBP,640.00,paypal
L009,P1006,ORD-9120,GBP,410.00,bank_transfer
L010,P9999,ORD-9203,USD,275.00,wise
L011,,ORD-9211,EUR,180.00,paypal
L012,P1003,ORD-9018,,150.00,bank_transfer
