ITEM_ID,SHIPMENT_ID,SKU,QUANTITY,LINE_WEIGHT_KG,BATCH_ID
I001,S001,SKU-100,2,1.500,1
I002,S001,SKU-101,1,0.750,1
I003,S001,SKU-102,3,2.250,1
I004,S002,SKU-100,1,0.750,1
I005,S003,SKU-103,4,3.000,1
I006,S003,SKU-104,2,1.000,1
I007,S004,SKU-101,5,3.750,1
I008,S004,SKU-105,1,0.400,1
I009,S005,SKU-100,3,2.250,1
I010,S006,SKU-102,2,1.500,1
I011,S006,SKU-103,1,0.750,1
I012,S006,SKU-106,6,2.400,1
I013,S007,SKU-100,2,1.500,1
I014,S008,SKU-107,1,5.000,1
I015,S008,SKU-101,2,1.500,1
I016,S009,SKU-100,4,3.000,1
I017,S010,SKU-102,3,2.250,2
I018,S010,SKU-108,1,0.900,2
I019,S011,SKU-100,2,1.500,2
I020,S012,SKU-103,1,0.750,2
I021,S012,SKU-104,2,1.000,2
I022,S012,SKU-109,5,4.500,2
I023,S014,SKU-100,1,0.750,2
I024,S014,SKU-105,2,0.800,2
