SHIPMENT_ID,WAREHOUSE_CODE,SHIP_DATE,STATUS,SHIPPING_COST_USD,UPDATED_AT,BATCH_ID
S001,WH-A,2026-06-01,DELIVERED,12.50,2026-06-01 18:00:00,1
S002,WH-A,2026-06-01,DELIVERED,9.00,2026-06-01 18:00:00,1
S003,WH-A,2026-06-01,CANCELLED,7.25,2026-06-01 18:00:00,1
S004,WH-B,2026-06-01,IN_TRANSIT,15.00,2026-06-01 18:00:00,1
S005,WH-B,2026-06-02,DELIVERED,11.00,2026-06-02 18:00:00,1
S006,WH-B,2026-06-02,IN_TRANSIT,8.75,2026-06-02 18:00:00,1
S007,WH-C,2026-06-02,CANCELLED,6.00,2026-06-02 18:00:00,1
S008,WH-A,2026-06-03,IN_TRANSIT,10.00,2026-06-03 11:00:00,1
S009,WH-C,2026-06-03,IN_TRANSIT,13.50,2026-06-03 11:00:00,1
S008,WH-A,2026-06-03,DELIVERED,10.00,2026-06-04 07:00:00,2
S009,WH-C,2026-06-03,DELIVERED,11.75,2026-06-04 07:00:00,2
S010,WH-A,2026-06-03,DELIVERED,14.25,2026-06-04 07:00:00,2
S011,WH-B,2026-06-03,DELIVERED,9.50,2026-06-04 07:00:00,2
S012,WH-A,2026-06-04,IN_TRANSIT,16.00,2026-06-05 07:00:00,2
S013,WH-B,2026-06-04,DELIVERED,12.00,2026-06-05 07:00:00,2
S014,WH-B,2026-06-04,CANCELLED,5.50,2026-06-05 07:00:00,2
