DELIVERY_ID,COURIER_ID,CITY_CODE,DELIVERY_DATE,STATUS,PAYOUT_BASE_USD,LOADED_AT,BATCH_ID
D001,C-01,CT-A,2026-07-01,COMPLETED,8.00,2026-07-02 03:00:00,1
D002,C-02,CT-A,2026-07-01,COMPLETED,9.50,2026-07-02 03:00:00,1
D003,C-01,CT-A,2026-07-01,CANCELLED,4.00,2026-07-02 03:00:00,1
D004,C-03,CT-B,2026-07-01,RETURNED,6.25,2026-07-02 03:00:00,1
D005,C-04,CT-B,2026-07-01,COMPLETED,7.75,2026-07-02 03:00:00,1
D006,C-02,CT-A,2026-07-02,COMPLETED,10.00,2026-07-04 03:00:00,2
D007,C-05,CT-C,2026-07-02,COMPLETED,12.00,2026-07-04 03:00:00,2
D008,C-03,CT-B,2026-07-02,RETURNED,5.50,2026-07-04 03:00:00,2
D009,C-01,CT-A,2026-07-01,COMPLETED,8.50,2026-07-04 03:00:00,2
D010,C-04,CT-A,2026-07-03,COMPLETED,11.00,2026-07-04 03:00:00,2
D011,C-05,CT-C,2026-07-03,COMPLETED,9.00,2026-07-04 03:00:00,2
D012,C-02,CT-B,2026-07-03,CANCELLED,3.50,2026-07-04 03:00:00,2
D013,C-01,CT-A,2026-07-04,COMPLETED,7.00,2026-07-05 03:00:00,3
D014,C-06,CT-B,2026-07-04,COMPLETED,6.75,2026-07-05 03:00:00,3
D015,C-03,CT-C,2026-07-01,COMPLETED,13.00,2026-07-05 03:00:00,3
D016,C-06,CT-A,2026-07-01,COMPLETED,6.50,2026-07-05 03:00:00,3
D017,C-05,CT-C,2026-07-03,COMPLETED,10.50,2026-07-05 03:00:00,3
