ADJUSTMENT_ID,DELIVERY_ID,ADJ_TYPE,ADJ_AMOUNT_USD,BATCH_ID
A001,D001,TIP,2.00,1
A002,D001,SURGE,1.50,1
A003,D002,TIP,3.00,1
A004,D003,TIP,1.00,1
A005,D004,PENALTY,-2.00,1
A006,D005,TIP,1.25,1
A007,D005,SURGE,0.75,1
A008,D005,PENALTY,-0.50,1
A009,D006,TIP,2.50,2
A010,D007,TIP,4.00,2
A011,D007,SURGE,2.00,2
A012,D008,PENALTY,-1.50,2
A013,D009,TIP,1.75,2
A014,D010,TIP,3.25,2
A015,D010,SURGE,1.00,2
A016,D013,TIP,1.50,3
A017,D015,TIP,3.00,3
A018,D015,SURGE,1.50,3
A019,D015,PENALTY,-0.75,3
A020,D016,TIP,2.00,3
A021,D017,TIP,2.75,3
